strike,bid,ask
5600.0,1314.3,1322.4
6000.0,948.4,955.8
6050.0,904.0,911.3
6240.0,739.2,746.1
6360.0,638.5,645.1
6400.0,605.7,612.1
6425.0,585.1,591.6
6430.0,581.1,587.6
6490.0,533.0,539.2
6500.0,525.0,531.2
6510.0,517.0,523.3
6520.0,509.2,515.3
6525.0,505.2,511.4
6530.0,501.3,507.4
6540.0,493.5,499.6
6550.0,487.2,490.0
6575.0,467.8,470.1
6580.0,463.4,466.3
6600.0,448.8,450.9
6610.0,440.9,443.6
6620.0,433.3,435.9
6625.0,429.5,432.6
6630.0,424.9,428.1
6650.0,410.9,413.9
6670.0,396.0,398.5
6675.0,392.3,395.2
6680.0,388.6,390.7
6700.0,373.9,376.5
6725.0,355.8,358.0
6740.0,344.6,347.9
6750.0,337.7,340.1
6770.0,323.9,326.1
6775.0,320.4,322.6
6780.0,316.7,319.1
6790.0,310.0,312.2
6800.0,302.8,305.4
6820.0,289.6,291.8
6825.0,286.3,288.4
6830.0,282.7,285.1
6840.0,275.8,278.5
6850.0,269.7,271.9
6860.0,263.3,265.4
6870.0,256.5,258.9
6875.0,253.5,255.7
6880.0,250.1,252.5
6890.0,244.0,246.2
6900.0,237.7,239.9
6910.0,231.3,233.7
6920.0,225.4,227.6
6925.0,222.4,224.6
6930.0,219.4,221.5
6940.0,213.4,215.7
6950.0,207.5,209.6
6960.0,201.6,203.8
6970.0,195.9,197.9
6975.0,193.0,195.2
6980.0,190.2,192.4
6990.0,184.6,186.7
7000.0,179.1,181.1
7010.0,173.7,175.8
7020.0,168.3,170.5
7025.0,165.7,167.7
7030.0,163.1,165.1
7040.0,157.9,160.0
7050.0,152.9,155.0
7075.0,140.6,142.7
7100.0,129.0,131.0
7125.0,117.9,119.9
7150.0,107.5,109.3
7175.0,97.7,99.5
7200.0,88.6,90.3
7225.0,80.0,81.7
7250.0,72.1,73.9
7275.0,64.7,66.4
7300.0,58.0,59.5
7325.0,51.8,53.3
7350.0,46.2,47.7
7375.0,41.2,42.6
7400.0,36.6,38.1
7425.0,32.4,33.9
7450.0,28.7,30.1
7475.0,25.4,26.8
7500.0,22.5,23.8
7525.0,19.9,21.1
7550.0,17.5,18.8
7600.0,13.7,14.9
7650.0,10.7,11.8
7700.0,8.4,9.4
7750.0,6.6,7.5
7800.0,5.2,6.1
7900.0,3.3,4.1
8000.0,2.25,2.9
8100.0,1.6,2.2
8300.0,0.95,1.45
8400.0,0.75,1.25
8600.0,0.5,0.95
8800.0,0.3,0.75
