strike,bid,ask
2800.0,3.3,3.9
3000.0,4.1,4.5
3200.0,4.9,5.5
3400.0,5.8,6.5
3600.0,6.9,7.6
3800.0,8.2,8.9
3900.0,8.9,9.6
4000.0,9.6,10.4
4100.0,10.4,11.2
4200.0,11.3,12.1
4300.0,12.2,13.1
4400.0,13.3,14.2
4500.0,14.4,15.3
4600.0,15.6,16.5
4700.0,17.0,18.0
4800.0,18.5,19.5
4900.0,20.2,21.3
4950.0,21.2,22.2
5000.0,22.2,23.2
5050.0,23.3,24.4
5075.0,23.8,25.0
5100.0,24.4,25.6
5125.0,25.0,26.2
5150.0,25.7,26.8
5200.0,27.0,28.2
5250.0,28.5,29.7
5300.0,30.0,31.3
5325.0,30.9,32.1
5350.0,31.7,33.0
5400.0,33.5,34.8
5450.0,35.5,36.8
5475.0,36.5,37.9
5500.0,37.6,39.0
5525.0,38.7,40.1
5550.0,39.9,41.3
5600.0,42.3,43.7
5625.0,43.8,45.1
5650.0,45.0,46.5
5675.0,46.4,47.9
5700.0,47.9,49.4
5725.0,49.4,50.9
5750.0,51.1,52.5
5775.0,52.7,54.2
5800.0,54.5,55.9
5825.0,56.3,57.7
5850.0,58.2,59.6
5875.0,60.1,61.5
5900.0,62.0,63.6
5920.0,63.8,65.3
5925.0,64.1,65.7
5930.0,64.7,66.1
5940.0,65.4,67.0
5950.0,66.3,67.9
5970.0,68.1,69.7
5975.0,68.6,70.1
5990.0,70.0,71.6
6000.0,70.9,72.3
6010.0,71.9,73.5
6025.0,73.4,75.0
6030.0,73.9,75.5
6050.0,76.0,77.5
6060.0,77.0,78.6
6070.0,78.1,79.6
6075.0,78.6,80.2
6080.0,79.1,80.7
6090.0,80.1,81.8
6100.0,81.2,82.9
6110.0,82.4,84.0
6125.0,84.1,85.7
6140.0,85.9,87.5
6150.0,87.0,88.7
6160.0,88.2,89.9
6175.0,90.1,91.8
6180.0,90.7,92.4
6200.0,93.2,94.9
6220.0,95.8,97.6
6225.0,96.5,98.0
6240.0,98.5,100.3
6250.0,99.9,101.6
6260.0,101.3,103.0
6270.0,102.7,104.4
6275.0,103.4,104.9
6280.0,104.1,105.8
6290.0,105.5,107.3
6300.0,107.0,108.8
6310.0,108.5,110.2
6325.0,110.7,112.3
6330.0,111.5,113.3
6340.0,113.1,114.8
6350.0,114.6,116.2
6370.0,117.8,119.6
6375.0,118.6,120.4
6380.0,119.5,121.2
6390.0,121.1,122.9
6400.0,122.8,124.6
6420.0,126.2,128.0
6425.0,127.1,128.9
6430.0,127.9,129.8
6450.0,131.3,133.3
6460.0,133.3,135.2
6470.0,135.2,137.0
6475.0,136.1,137.9
6480.0,137.0,138.9
6490.0,138.9,140.8
6500.0,140.8,142.7
6520.0,144.8,146.6
6525.0,145.8,147.6
6530.0,146.8,148.6
6550.0,150.7,152.7
6570.0,155.0,156.9
6575.0,156.1,158.0
6580.0,157.1,159.0
6590.0,159.3,161.2
6600.0,161.5,163.4
6610.0,163.7,165.7
6620.0,166.0,167.9
6625.0,167.1,169.1
6630.0,168.3,170.5
6650.0,173.0,175.0
6660.0,175.4,177.4
6670.0,177.8,179.8
6675.0,179.1,181.1
6680.0,180.3,182.3
6690.0,182.8,184.8
6700.0,185.4,187.4
6710.0,188.0,190.0
6720.0,190.6,192.9
6725.0,191.7,194.0
6730.0,193.3,195.6
6740.0,196.0,198.1
6750.0,198.8,201.1
6760.0,201.6,203.7
6770.0,204.5,206.8
6775.0,205.9,208.0
6780.0,207.4,209.5
6790.0,210.4,212.6
6800.0,213.4,215.5
6810.0,216.0,218.9
6820.0,219.6,221.7
6825.0,220.7,223.3
6830.0,222.5,224.9
6840.0,226.0,228.4
6850.0,229.3,231.7
6860.0,232.6,234.8
6870.0,235.7,238.2
6875.0,237.8,240.0
6880.0,239.5,242.0
6890.0,242.7,245.4
6900.0,246.7,248.9
6910.0,250.0,252.6
6925.0,256.0,258.5
6930.0,257.9,260.1
6940.0,261.0,264.0
6950.0,265.8,268.0
6960.0,269.8,272.0
6970.0,273.9,276.4
6975.0,275.3,278.6
6980.0,277.5,280.8
7000.0,286.3,289.2
7020.0,295.8,298.2
7025.0,297.3,300.5
7050.0,309.4,312.7
7075.0,322.4,324.8
7100.0,334.7,337.6
7200.0,391.9,397.8
7250.0,424.5,430.8
7450.0,578.5,585.6
7650.0,751.1,775.0
