Date,spot,option_price
12/2/2024,603.63,23.33
12/3/2024,603.91,23.4
12/4/2024,607.66,25.8
12/5/2024,606.66,25.13
12/6/2024,607.81,25.86
12/9/2024,604.68,23.4
12/10/2024,602.8,22.5
12/11/2024,607.46,25.43
12/12/2024,604.33,23
12/13/2024,604.21,22.7
12/16/2024,606.79,24.91
12/17/2024,604.29,23.18
12/18/2024,586.28,14.98
12/19/2024,586.1,14.93
12/20/2024,591.15,16.16
12/23/2024,594.69,17.15
12/24/2024,601.3,19.75
12/26/2024,601.34,19.53
12/27/2024,595.01,15.88
12/30/2024,588.22,12
12/31/2024,586.08,11
1/2/2025,584.64,10.3
1/3/2025,591.95,13.01
1/6/2025,595.36,14.82
1/7/2025,588.63,11.61
1/8/2025,589.49,11.57
1/10/2025,580.49,7.81
1/13/2025,581.39,8.05
1/14/2025,582.19,8.29
1/15/2025,592.78,11.55
1/16/2025,591.64,10.46
1/17/2025,597.58,13.76
1/21/2025,603.05,16.42
1/22/2025,606.44,18.58
1/23/2025,609.75,20.7
1/24/2025,607.97,19.06
1/27/2025,599.37,14.81
1/28/2025,604.52,16.65
1/29/2025,601.81,14.51
1/30/2025,605.04,16.69
1/31/2025,601.82,14.8
2/3/2025,597.77,13.05
2/4/2025,601.78,14
2/5/2025,604.22,15.44
2/6/2025,606.32,15.62
2/7/2025,600.77,12.85
2/10/2025,604.85,14.5
2/11/2025,605.31,14.81
2/12/2025,603.36,13.79
2/13/2025,609.73,17.24
2/14/2025,609.7,16.95
2/18/2025,611.49,17.6
2/19/2025,612.93,18.17
2/20/2025,610.38,16.56
2/21/2025,599.94,10.55
2/24/2025,597.21,9.15
2/25/2025,594.24,7.66
2/26/2025,594.54,7.52
2/27/2025,585.05,4.12
2/28/2025,594.18,6.28
3/3/2025,583.77,3.57
3/4/2025,576.86,2.12
3/5/2025,583.06,2.55
3/6/2025,572.71,1.38
3/7/2025,575.92,0.93
3/10/2025,560.58,0.21
3/11/2025,555.92,0.06
3/12/2025,558.87,0.04
3/13/2025,551.42,0.03
3/14/2025,562.81,0.03
3/17/2025,567.15,0.02
3/18/2025,561.02,0.02
3/19/2025,567.13,0.01
